BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,NDVI_Mean,NDVI_StDev,SRTM,TreeCover
193,165,43,7888,392,15,377,95,227,295,95,418,52,6,44,139,31,97,139,5303,955,657,7
205,165,44,7792,395,23,372,300,242,306,107,357,53,7,47,131,27,105,108,4772,471,591,2
52,180,50,6365,237,-116,353,131,78,136,-26,573,106,16,59,272,59,230,117,6726,933,2786,37
86,166,47,6468,290,-63,353,13,171,171,8,951,153,7,68,444,46,46,432,8569,1987,1190,57
168,107,54,3298,265,65,200,132,206,213,128,271,52,1,85,149,6,12,139,7232,1068,43,3
166,158,44,7032,360,4,356,94,258,258,82,311,60,2,83,164,11,11,161,7122,1444,784,40
54,149,36,8676,282,-124,406,95,160,166,-58,417,53,27,20,131,91,99,99,6771,1266,1713,8
71,147,36,8762,301,-104,405,62,178,184,-43,348,40,19,19,104,63,71,91,5680,730,1547,9
84,119,30,9542,283,-112,395,182,-44,203,-44,958,94,58,14,275,194,271,194,8148,1168,111,43
111,120,50,4173,251,12,239,65,165,167,62,1489,263,9,73,748,57,71,692,8768,703,219,71
85,168,45,6886,298,-70,368,5,171,177,0,270,31,9,27,84,42,52,72,5646,1063,1282,8
106,124,45,5143,271,-1,272,47,172,173,43,1520,284,14,74,777,73,82,728,7771,1259,135,45
97,120,32,8878,289,-80,369,201,-8,210,-20,1179,112,75,11,328,255,323,256,8265,2003,177,20
33,150,36,8822,251,-165,416,-66,73,147,-82,428,40,26,11,118,91,99,116,5665,1146,2489,6
28,134,36,8231,235,-137,372,6,-71,138,-71,409,39,27,10,116,88,104,88,7548,2086,2702,58
93,102,43,4843,233,-4,237,39,157,157,35,1409,191,40,41,557,174,174,504,9527,3039,348,56
98,116,29,9957,292,-105,397,199,-39,219,-39,968,107,40,27,311,151,300,151,8491,2441,206,60
84,114,29,9653,284,-102,386,194,-33,204,-45,883,101,38,23,270,148,260,154,8641,1926,245,15
85,153,34,10034,315,-126,441,187,-45,214,-45,461,86,8,68,233,29,203,29,6445,1359,918,2
60,128,27,11946,292,-181,473,183,-102,206,-102,525,87,11,61,239,36,237,36,7852,1957,548,40
95,97,45,4161,219,7,212,49,148,150,45,2883,444,60,58,1261,209,248,1208,8323,1842,95,30
