"","Site","NDVI","Taxa","Richness"
"1","Site.1",0.66,"Birds",14
"2","Site.2",0.4,"Birds",10
"3","Site.3",0.36,"Birds",9
"4","Site.4",0.82,"Birds",16
"5","Site.5",0.55,"Birds",12
"6","Site.6",0.29,"Birds",7
"7","Site.7",0.51,"Birds",11
"8","Site.8",0.74,"Birds",16
"9","Site.9",1,"Birds",25
"10","Site.10",0.76,"Birds",16
"11","Site.11",0.5,"Birds",11
"12","Site.12",0.67,"Birds",15
"13","Site.13",0.85,"Birds",17
"14","Site.14",0.61,"Birds",12
"15","Site.15",0.53,"Birds",11
"16","Site.16",0.88,"Birds",18
"17","Site.17",0.7,"Birds",14
"18","Site.18",0.81,"Birds",18
"19","Site.19",0.86,"Birds",18
"20","Site.20",0.6,"Birds",11
"21","Site.21",0.6,"Birds",14
"22","Site.22",0.67,"Birds",15
"23","Site.23",0.75,"Birds",9
"24","Site.24",0.83,"Birds",18
"25","Site.25",0.43,"Birds",10
"26","Site.26",0.59,"Birds",14
"27","Site.27",1,"Birds",21
"28","Site.28",0.72,"Birds",16
"29","Site.29",0.56,"Birds",12
"30","Site.30",0.79,"Birds",17
"31","Site.1",0.66,"Butterflies",10
"32","Site.2",0.4,"Butterflies",6
"33","Site.3",0.36,"Butterflies",7
"34","Site.4",0.82,"Butterflies",12
"35","Site.5",0.55,"Butterflies",9
"36","Site.6",0.29,"Butterflies",9
"37","Site.7",0.51,"Butterflies",7
"38","Site.8",0.74,"Butterflies",12
"39","Site.9",1,"Butterflies",15
"40","Site.10",0.76,"Butterflies",12
"41","Site.11",0.5,"Butterflies",7
"42","Site.12",0.67,"Butterflies",10
"43","Site.13",0.85,"Butterflies",12
"44","Site.14",0.61,"Butterflies",9
"45","Site.15",0.53,"Butterflies",9
"46","Site.16",0.88,"Butterflies",14
"47","Site.17",0.7,"Butterflies",11
"48","Site.18",0.81,"Butterflies",20
"49","Site.19",0.86,"Butterflies",13
"50","Site.20",0.6,"Butterflies",9
"51","Site.21",0.6,"Butterflies",10
"52","Site.22",0.67,"Butterflies",10
"53","Site.23",0.75,"Butterflies",12
"54","Site.24",0.83,"Butterflies",11
"55","Site.25",0.43,"Butterflies",10
"56","Site.26",0.59,"Butterflies",9
"57","Site.27",1,"Butterflies",15
"58","Site.28",0.72,"Butterflies",11
"59","Site.29",0.56,"Butterflies",9
"60","Site.30",0.79,"Butterflies",12
